"Taraxacum_officinale"	"Geum_urbanum"	"Vicia_cracca"	"Cornus_sanguinea"	"Erigeron_annuus"	"Galium_mollugo"	"Achillea_millefolium"	"Knautia_arvensis"	"Rubus_fruticosus"	"Prunus_sp._1"	"Geranium_pyrenaicum"	"Glechoma_hederacea"	"Prunus_sp._2"	"Rosa_canina"	"Alliaria_petiolata"	"Malus_sp."	"Silene_alba"	"Lotus_corniculatus"	"Lamium_album"	"Lonicera_sp."	"Prunus_spinosa"	"Bunias_orientalis"	"Crataegus_monogyna"	"Bellis_perennis"	"Potentilla_reptans"	"Plantago_major"	"Medicago_lupulina"	"Chaerophyllum_temulum"	"Trifolium_repens"	"Vicia_sativa"	"Potentilla_argentea"	"Geum_rivale"	"Ranunculus_arvensis"	"Valerianella_locusta"	"Rosacae_sp."	"Euonymus_europaea"	"Geranium_robertianum"	"Mahonia_aquifolium"	"Papaver_rhoeas"	"Leucanthemum_vulgare"	"Verbascum_lychnitis"	"Plantago_lanceolata"	"Salvia_pratensis"	"Convolvulaceae"	"Medicago_sativa"	"Melilotus_officinalis"	"Myosotis_arvensis"	"Thlaspi_sp."	"Trifolium_pratense"	"Vicia_hirsuta"	"Galium_aparine"	"Tripleurospermum_sp."	"Veronica_chamaedrys"	"Byturus_tomentosus"	"Apis_mellifera"	"Lasius_niger"	"Pseudovadonia_livida"	"Meligethes_sp."	"Mordellistena_brevicauda"	"Olibrus_aeneus"	"Oedemera_lurida"	"Myrmica_rubra"	"Phyllopertha_horticola"	"Formica_rufibarbis"	"Anthrenus_verbasci"	"Lassioglossum_ssp."	"Anthaxia_nitidula"	"Heteroptera_sp."	"Oedemera_femorata"	"Dicraeus_vagans"	"Bombus_pascuorum"	"Isomira_semiflava"	"Botanophila_fugax"	"Noctuidae_sp._1"	"Trachysiphonella_pygmaea"	"Bombylius_major"	"Ozirhincus_millefolii"	"Eucera_nigrescens"	"Bombus_sp."	"Bombus_lucorum"	"Plataspidae_sp."	"Coreus_marginatus"	"Pteromalidae_sp._1"	"Osmia_bicornis"	"Olibrus_bicolor"	"Rhinophora_lepida"	"Anthonomus_rubi"	"Nematocera_sp._7"	"Bruchus_luteicornis"	"Cerambycidae_sp._3"	"Magdalis_ruficornis"	"Lasius_fuliginosus"	"Coleoptera_sp._13"	"Noctuidae_sp._2"	"Cephus_pygmaeus"	"Proctotrupoidea_sp._1"	"Ceratina_cyanea"	"Bombus_pratorum"	"Cerambycidae_sp._1"	"Magdalis_cerasi"	"Rhinusa_tetra"	"Dermaptera_sp._1"	"Atrichopogon_sp."	"Chloromyia_formosa"	"Cephus_cultratus"	"Anthophora_plumipes"	"Apidae_sp._10"	"Dasytes_caeruleus"	"Dasytes_niger"	"Stenopterus_rufus"	"Brachycera_sp._2"	"Lygaeidae_sp._1"	"Syrphidae_sp._4"	"Lasioglossum_sp._1"	"Panurginus_sp._1"	"Cantharidae_sp._2"	"Chrysomelidae_sp._3"	"Coleoptera_sp._28"	"Curculionidae_sp._2"	"Melyridae_sp._1"	"Nitidulidae_sp._1"	"Oedemeridae_sp._2"	"Brachycera_sp._18"	"Nematocera_sp._11"	"Nematocera_sp._6"	"Pentatomidae_sp._1"	"Lygocoris_pabulinus"	"Pyrrhocoris_apterus"	"Arachnidae_sp._5"	"Misumena_vatia"	"Apidae_sp._11"	"Apidae_sp._14"	"Apidae_sp._15"	"Apidae_sp._1"	"Hoplitis_leucomelana"	"Bombus_hortorum"	"Bombus_sp._8"	"Bombus_terrestris"	"Agrypnus_murinus"	"Cantharidae_sp._1"	"Cantharidae_sp._4"	"Cantharis_sp._1"	"Carabidae_sp._1"	"Cetonia_aurata"	"Chrysomelidae_sp._1"	"Chrysomelidae_sp._2"	"Coccinella_sp._2"	"Coccinellidae_sp."	"Curculionidae_sp._3"	"Curculionidae_sp._8"	"Mordellidae_sp._1"	"Nitidulidae_sp._2"	"Oedemera_podagrariae"	"Oedemeridae_sp."	"Strangalia_melanura"	"Strangalia_nigra"	"Brachycera_sp._16"	"Brachycera_sp._25"	"Brachycera_sp._5"	"Brachycera_sp._8"	"Diptera_sp._3"	"Diptera_sp._4"	"Empis_caudatula"	"Sicus_ferrugineus"	"Ensifera_sp._3"	"Ensifera_sp._4"	"Ensifera_sp._5"	"Ensifera_sp._6"	"Ensifera_sp._8"	"Auchenorrhyncha_sp._1"	"Hymenoptera_sp._2"	"Hymenoptera_sp._5"	"Hymenoptera_sp._6"	"Spermaphagus_sericeus"	"Lepidoptera_sp._1"	"Syrphidae_sp._2"	"Lepidoptera_sp._2"	"Arachnidae_sp._1"	"Arachnidae_sp._10"	"Arachnidae_sp._11"	"Arachnidae_sp._12"	"Arachnidae_sp._2"	"Arachnidae_sp._3"	"Arachnidae_sp._4"	"Arachnidae_sp._6"	"Arachnidae_sp._7"	"Arachnidae_sp._8"	"Thomisidae_sp._1"	"Apidae_sp._12"	"Apidae_sp._13"	"Apidae_sp._17"	"Apidae_sp._2"	"Apidae_sp._4"	"Apidae_sp._6"	"Apidae_sp._7"	"Apidae_sp._8"	"Apidae_sp._9"	"Halictus_tumulorum"	"Lasioglossum_malachurum"	"Megachile_sp._1"	"Megachile_sp._2"	"Melecta_luctuosa"	"Osmia_sp._1"	"Blattodea_sp."	"Bombus_lapidarius"	"Bombus_sp._1"	"Bombus_sp._2"	"Bombus_sp._3"	"Bombus_sp._4"	"Bombus_sp._5"	"Bombus_sp._6"	"Bombus_sp._7"	"Megabombus_ruderarius"	"Ampedus_pomorum"	"Anaspis_frontalis"	"Byrrhidae_sp._1"	"Cantharis_sp._2"	"Cerambycidae_sp._2"	"Cidnopus_aeruginosus"	"Clytra_quadripunctata"	"Coccinella_sp._1"	"Coenorhinus_aequatus"	"Coleoptera_sp._12"	"Curculionidae_sp._4"	"Curculionidae_sp._5"	"Curculionidae_sp._7"	"Curculionidae_sp._9"	"Cynegetis_impunctata"	"Dasytes_virens"	"Elateridae_sp._1"	"Malachius_bipustulatus"	"Nitidulidae_sp._3"	"Notoxus_monoceros"	"Oedemeridae_sp._1"	"Oedemeridae_sp._3"	"Oxystoma_craccae"	"Oxythyrea_funesta"	"Propylaea_quatuordecimpunctata"	"Rhynchaenus_populi"	"Asilidae_sp._1"	"Brachycera_sp._1"	"Brachycera_sp._10"	"Brachycera_sp._11"	"Brachycera_sp._13"	"Brachycera_sp._19"	"Brachycera_sp._20"	"Brachycera_sp._21"	"Brachycera_sp._22"	"Brachycera_sp._24"	"Brachycera_sp._26"	"Brachycera_sp._27"	"Brachycera_sp._4"	"Brachycera_sp._7"	"Brachycera_sp._9"	"Diptera_sp._1"	"Empis_s._str.__anfractuosa"	"Leucopis_armillata"	"Muscidae_sp._1"	"Nematocera_sp._1"	"Nematocera_sp._10"	"Nematocera_sp._3"	"Nematocera_sp._4"	"Nematocera_sp._5"	"Nematocera_sp._8"	"Nematocera_sp._9"	"Otites_sp._1"	"Phoridae_sp._1"	"Phoridae_sp._2"	"Tachina_fera"	"Volucella_bombylans"	"Xylophagidae_sp._1"	"Ensifera_sp._1"	"Ensifera_sp._10"	"Ensifera_sp._2"	"Ensifera_sp._7"	"Ensifera_sp._9"	"Aphidoidea_sp."	"Lygaeidae_sp._2"	"Lygus_wagneri"	"Miridae_sp._1"	"Miris_striatus"	"Heteroptera_sp._1"	"Heteroptera_sp._3"	"Pentatomidae_sp._2"	"Hymenoptera_sp._1"	"Euclidia_glyphica"	"Melanargia_galatea"	"Microlepidoptera_sp._1"	"Polyommatus_semiargus"	"Pyralidae_sp._1"	"Pyralidae_sp._2"	"Chrysoperla_carnea"	"Chrysotoxum_vernale"	"Syrphidae_sp._1"	"Syrphidae_sp._3"	"Syrphidae_sp._5"	"Syrphidae_sp._6"	"Syrphidae_sp._7"	"Ichneumonidae_sp._1"	"Lindenius_albilabris"	"Vespidae_sp._2"
"Trachysiphonella_pygmaea"	0	0	0	0	0.225	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombylius_major"	0.1125	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0.1125	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ozirhincus_millefolii"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eucera_nigrescens"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_sp."	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_lucorum"	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plataspidae_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coreus_marginatus"	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pteromalidae_sp._1"	0.18	0	0	0.18	0	0	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Osmia_bicornis"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olibrus_bicolor"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhinophora_lepida"	0	0	0	0	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthonomus_rubi"	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nematocera_sp._7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bruchus_luteicornis"	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cerambycidae_sp._3"	0	0	0	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
